Transaction ID,Fixture type,Model,Model #,S/N,image,Real S/N,,,
01AAACPD,Google Chromecast,GZRNL,GA01433,28241HFGN29853,,28241HFGN29853,,,
01AAACPC,Google Voice Remote,G9N9N,GA01409,28151HFAK8L4LD,,28151HFAK8L4LD,,,
01AAACPB,Google Chromecast,GZRNL,GA01433,28021HFGN1XAKJ,,28021HFGN1XAKJ,,,
01AAACPA,Google Voice Remote,G9N9N,GA01409,27221HFAK873CF,,27221HFAK873CF,,,
01AAACO9,Google Chromecast,GZRNL,GA01433,27241HFGN1TR1R,,27241HFGN1TR1R,,,
01AAACO8,Google Voice Remote,G9N9N,GA01409,27151HFAK82Y93,,27151HFAK82Y93,,,
01AAACO7,Google Chromecast,GZRNL,GA01433,2A011HFGN3629C,,2A011HFGN3629C,,,
01AAACO6,Google Voice Remote,G9N9N,GA01409,28291QUH1002ZE,,28291QUH1002ZE,,,
01AAACO5,Google Chromecast,GZRNL,GA01433,2C261HFGN5253C,,2C261HFGN5253C,,,
01AAACO4,Google Voice Remote,G9N9N,GA01409,2C051QUH1C019K,,2C051QUH1C019K,,,
01AAACO3,Google Chromecast,GZRNL,GA01433,26131HFGN0UN65,,26131HFGN0UN65,,,
01AAACO2,Google Voice Remote,G9N9N,GA01409,22161HFAK64Z8M,,22161HFAK64Z8M,,,
01AAACO1,Google Chromecast,GZRNL,GA01433,21111HFDD4FSWN,,21111HFDD4FSWN,,,
01AAACO0,Google Voice Remote,G9N9N,GA01409,21041HFAK5O4T5,,21041HFAK5O4T5,,,
01AAACOZ,Google Chromecast,GZRNL,GA01433,2A121HFGN3AXVA,,2A121HFGN3AXVA,,,
01AAACOY,Google Voice Remote,G9N9N,GA01409,29201QUH120530,,29201QUH120530,,,
01AAACOX,Google Chromecast,GZRNL,GA01433,29011HFGN2DUEP,,29011HFGN2DUEP,,,
01AAACOW,Google Voice Remote,G9N9N,GA01409,28271HFAK8TGD9,,28271HFAK8TGD9,,,
01AAACOV,Google Chromecast,GZRNL,GA01433,27181HFGN15V9N,,27181HFGN15V9N,,,
01AAACOU,Google Voice Remote,G9N9N,GA01409,27081HFAK7Z5PN,,27081HFAK7Z5PN,,,
01AAACOT,Google Chromecast,GZRNL,GA01433,2C271HFGN526M9,,2C271HFGN526M9,,,
01AAACOS,Google Voice Remote,G9N9N,GA01409,2B291QUH1B03SZ,,2B291QUH1B03SZ,,,
01AAACOR,Google Chromecast,GZRNL,GA01433,29011HFGN2DUCG,,29011HFGN2DUCG,,,
01AAACOQ,Google Voice Remote,G9N9N,GA01409,28241HFAK8QKIU,,28241HFAK8QKIU,,,
01AAACOP,Google Chromecast,GZRNL,GA01433,28111HFGN22Q50,,28111HFGN22Q50,,,
01AAACOO,Google Voice Remote,G9N9N,GA01409,16231HFAK3GRLV,,16231HFAK3GRLV,,,
01AAACON,Google Chromecast,GZRNL,GA01433,2A031HFGN36ADP,,2A031HFGN36ADP,,,
01AAACOM,Google Voice Remote,G9N9N,GA01409,26171QUH1007D2,,26171QUH1007D2,,,
01AAACOL,Google Chromecast,GZRNL,GA01433,2A031HFGN36KUU,,2A031HFGN36KUU,,,
01AAACOK,Google Voice Remote,G9N9N,GA01409,29151QUH100048,,29151QUH100048,,,
01AAACOJ,Google Chromecast,GZRNL,GA01433,29021HFGN2ECB0,,29021HFGN2ECB0,,,
01AAACOI,Google Voice Remote,G9N9N,GA01409,28271HFAK8THCK,,28271HFAK8THCK,,,
01AAACOH,Google Chromecast,GZRNL,GA01433,29011HFGN2DUTY,,29011HFGN2DUTY,,,
01AAACOG,Google Voice Remote,G9N9N,GA01409,28261HFAK8STWJ,,28261HFAK8STWJ,,,
01AAACOF,Google Chromecast,GZRNL,GA01433,28241HFGN29GN7,,28241HFGN29GN7,,,
01AAACOE,Google Voice Remote,G9N9N,GA01409,28181HFAK8NCGZ,,28181HFAK8NCGZ,,,
01AAACOD,Google Chromecast,GZRNL,GA01433,28181HFGN26D1X,,28181HFGN26D1X,,,
01AAACOC,Google Voice Remote,G9N9N,GA01409,28081HFAK8GQN3,,28081HFAK8GQN3,,,
01AAACOB,Google Chromecast,GZRNL,GA01433,29031HFDD7NMVZ,,29031HFDD7NMVZ,,,
01AAACOA,Google Voice Remote,G9N9N,GA01409,28261HFAK8SGLB,,28261HFAK8SGLB,,,
01AAACN9,Google Chromecast,GZRNL,GA01433,09021HFDD08F2U,,09021HFDD08F2U,,,
01AAACN8,Google Voice Remote,G9N9N,GA01409,08241HFAK1C3GS,,08241HFAK1C3GS,,,
01AAACN7,Google Chromecast,GZRNL,GA01433,31071HFGN53FU8,,31071HFGN53FU8,,,
01AAACN6,Google Voice Remote,G9N9N,GA01409,2B231QUH1A00FW,,2B231QUH1A00FW,,,
01AAACN5,Google Chromecast,GZRNL,GA01433,31051HFGN535MX,,31051HFGN535MX,,,
