No.,Image Name,Serial,Model,Elapsed Time
1,73BE3405-F511-4F03-8C09-03E3F241F181_1_201_a copy.jpg,,GXCA6,2.0950469970703125
2,EF5057F0-EFA0-4302-ADA7-AE930C6D798D_1_201_a copy.jpg,08061HFDL09CUT,GXCA6,1.9121837615966797
3,D18A923B-5C69-46D0-9023-E6AF26B1D481_1_201_a copy.jpg,0B24IHFDL0PGBC,HGICA,2.229677677154541
4,36ABC165-013D-43F4-8CD6-AA550E423EE1_1_201_a copy.jpg,0C07THFDL0R7XS,GXCA6,2.0311408042907715
5,DFC151B1-4787-42B3-A588-717076A4A34E_1_201_a copy.jpg,13031HFDL17H98,GXCA6,2.0491724014282227
6,BC731C2F-FEDA-4842-B04A-C6127E8977F6_1_201_a copy.jpg,,GXCA6,2.231818199157715
7,DCEC0B81-E2E0-480F-8593-14C9DB66206D_1_201_a copy.jpg,1C181HFDL1JGLV,GXCA6,2.2363619804382324
8,D9A0B22D-8F1E-4B22-AE30-31185B62A0CC_1_201_a copy.jpg,12251HFDL16XRM,GXCA6,2.0353095531463623
9,181A420A-8A9B-4AAF-AB9B-1A2A434FD47D_1_201_a copy.jpg,1A111HFDL1K2LV,GXCA6,2.1196837425231934
10,FC917109-B5C9-4C0A-85D7-89F2EF88462C_1_201_a copy.jpg,12101HFDL17L0L,GXCA6,2.0691170692443848
11,67B846AB-0D76-4690-AEA6-EA931D20F9D7_1_201_a copy.jpg,28011HFDL1MW95,GXCA6,2.0976688861846924
12,CEF4D2BF-DFFC-493B-925C-A60CE93B3CD4_1_201_a copy.jpg,1C201HFDL1DX2N,GXCA6,2.3947927951812744
13,84BCDAC7-8E70-4046-AF7B-FA73FF2EA309_1_201_a copy.jpg,0B241HFDL0UY5V,GXCA6,2.3528554439544678
14,58306BF8-0EBD-4A5C-99BD-90E18A0A2F6A_1_201_a copy.jpg,28011HFDL1Q166,GXCA6,2.2774124145507812
15,8745399D-F139-4F05-873F-0F8191CA9E8E_1_201_a copy.jpg,0B161HFDL0TRQC,GXCA6,2.3728713989257812
16,4C6F0F21-4147-4467-8C58-BABF57F805AA_1_201_a copy.jpg,10221HFDL0N32M,GXCA6,2.3316075801849365
17,4D9001A3-B9F3-49AA-8FF4-D447740CE8D2_1_201_a copy.jpg,,,1.8102498054504395
