No,Image,SN ground truth,SN predict,Model Predict,Valid,Note
1,181A420A-8A9B-4AAF-AB9B-1A2A434FD47D_1_201_a copy.jpg,1A111HFDL1K2LV,1A111HFDL1K2LV,GXCA6,TRUE,
2,67B846AB-0D76-4690-AEA6-EA931D20F9D7_1_201_a copy.jpg,28011HFDL1MW95,28011HFDL1MW95,GXCA6,TRUE,
3,DFC151B1-4787-42B3-A588-717076A4A34E_1_201_a copy.jpg,13031HFDL17H98,13031HFDL17H98,GXCA6,TRUE,
4,BC731C2F-FEDA-4842-B04A-C6127E8977F6_1_201_a copy.jpg,16221HFDL0R6YD,16221HFDL0R3YD,GXCA6,FALSE,
5,73BE3405-F511-4F03-8C09-03E3F241F181_1_201_a copy.jpg,12051HFDL157V3,12051HFDL157V3,GXCA6,TRUE,
6,CEF4D2BF-DFFC-493B-925C-A60CE93B3CD4_1_201_a copy.jpg,1C201HFDL1DX2N,1C201HFDL1DX2N,GXCA6,TRUE,
7,8745399D-F139-4F05-873F-0F8191CA9E8E_1_201_a copy.jpg,0B161HFDL0TRQG,0B161HFDL0TRQG,GXCA6,TRUE,
8,EF5057F0-EFA0-4302-ADA7-AE930C6D798D_1_201_a copy.jpg,08061HFDL09CUT,08061HFDL09CUT,GXCA6,TRUE,
9,4D9001A3-B9F3-49AA-8FF4-D447740CE8D2_1_201_a copy.jpg,,,,TRUE,
10,36ABC165-013D-43F4-8CD6-AA550E423EE1_1_201_a copy.jpg,0C071HFDL0R7XS,0C071HFDL0R7XS,GXCA6,TRUE,
11,58306BF8-0EBD-4A5C-99BD-90E18A0A2F6A_1_201_a copy.jpg,28011HFDL1Q166,28011HFDL1Q166,GXCA6,TRUE,
12,D9A0B22D-8F1E-4B22-AE30-31185B62A0CC_1_201_a copy.jpg,12251HFDL16XRM,12251HFDL16XRM,GXCA6,TRUE,
13,27.jpg,12251HFDL19DPP,12251HFDL19DPP,GXCA6,TRUE,
14,FC917109-B5C9-4C0A-85D7-89F2EF88462C_1_201_a copy.jpg,12101HFDL17LOL,12101HFDL17LOL,GXCA6,TRUE,
15,84BCDAC7-8E70-4046-AF7B-FA73FF2EA309_1_201_a copy.jpg,0B241HFDL0UY5V,0B241HFDL0UY3V,GXCA6,FALSE,
16,4C6F0F21-4147-4467-8C58-BABF57F805AA_1_201_a copy.jpg,16221HFDL0N32M,16221HFDL0N32M,GXCA6,TRUE,
17,D18A923B-5C69-46D0-9023-E6AF26B1D481_1_201_a copy.jpg,0B241HFDL0PGBG,0B241HFDL0PGBG,GXCA6,TRUE,
18,DCEC0B81-E2E0-480F-8593-14C9DB66206D_1_201_a copy.jpg,1C181HFDL1JGLV,1C181HFDL1JGLV,GXCA6,TRUE,
